Project_No,Simple Actors,Average Actors,Complex Actors,UAW,Simple UC,Average UC,Complex UC,UUCW,TCF,ECF,Real_P20,Real_Effort_Person_Hours
1,1,1,2,9,6,10,15,355,81,84,3985,7970
2,1,2,1,8,4,20,15,445,99,99,3981,7962
3,0,0,3,9,1,5,20,355,103,8,39675,7935
4,0,1,2,8,5,10,15,350,9,91,39025,7805
5,1,2,1,8,1,10,16,345,9,91,3879,7758
6,2,0,2,8,1,13,14,345,99,99,38215,7643
7,0,2,1,7,3,18,15,420,94,102,3766,7532
8,0,1,2,8,0,16,12,340,103,8,37255,7451
9,,1,2,8,2,10,15,335,94,102,37245,7449
10,4,0,1,7,4,14,17,415,1025,98,37135,7427
11,1,2,1,8,5,16,10,335,92,78,3703,7406
12,0,1,2,8,1,10,15,330,85,89,36825,7365
13,1,0,2,7,9,8,19,410,75,81,3675,7350
14,1,0,2,7,5,8,20,405,102,1085,36515,7303
15,0,1,2,8,2,15,11,325,1095,95,3626,7252
16,0,1,2,8,1,8,16,325,92,78,36225,7245
17,0,2,1,7,2,15,16,400,75,81,3583,7166
18,2,1,1,7,5,11,17,390,965,755,35595,7119
19,0,1,2,8,3,9,14,315,92,78,35555,7111
20,4,2,0,8,2,14,11,315,105,95,3522,7044
21,1,0,2,7,5,14,15,390,71,73,352,7040
22,2,1,1,7,3,23,10,395,102,1085,3514,7028
23,0,1,2,8,1,16,10,315,103,8,3471,6942
24,1,0,2,7,1,15,10,305,965,755,3407,6814
25,0,0,3,9,2,19,12,380,78,79,34045,6809
26,0,1,2,8,2,20,11,375,98,97,3401,6802
27,1,1,3,12,0,14,11,305,78,51,33935,6787
28,1,0,2,7,1,9,14,305,108,77,3382,6764
29,0,2,1,7,4,15,14,380,105,95,33805,6761
30,0,2,1,7,0,15,10,300,85,89,33625,6725
31,1,0,2,7,1,16,9,300,102,1085,3345,6690
32,0,2,1,7,0,18,8,300,108,77,330,6600
33,2,1,1,7,0,17,8,290,94,102,3237,6474
34,0,0,2,6,0,13,15,355,95,92,32165,6433
35,1,0,2,7,1,13,10,285,78,79,3208,6416
36,0,1,2,8,0,14,10,290,94,102,3206,6412
37,0,0,2,6,4,20,9,355,9,94,320,6400
38,1,0,2,7,1,10,12,285,71,73,318,6360
39,0,0,2,6,0,13,15,355,9,91,31685,6337
40,2,2,4,18,1,20,27,610,72,67,312,6240
41,1,0,2,7,1,11,11,280,78,51,3116,6232
42,1,0,2,7,1,14,9,280,103,8,30865,6173
43,0,0,2,6,0,12,15,345,1,92,308,6160
44,0,0,2,6,2,15,12,340,1095,95,30585,6117
45,2,1,1,7,2,13,9,275,75,81,3031,6062
46,0,2,5,19,1,27,15,500,103,8,30255,6051
47,1,1,5,18,3,26,15,500,72,67,3024,6048
48,0,3,4,18,2,19,20,500,85,89,30175,6035
49,0,0,2,6,1,19,5,270,965,755,3012,6024
50,0,0,6,18,20,25,9,485,85,88,30115,6023
51,2,2,4,18,5,25,20,575,1118,995,29965,5993
52,1,1,5,18,4,16,21,495,85,88,29925,5985
53,0,3,4,18,5,21,17,490,75,81,29855,5971
54,1,1,5,18,5,21,17,490,81,84,2981,5962
55,1,1,5,18,6,16,20,490,85,89,2972,5944
56,0,1,5,17,5,25,20,575,85,88,297,5940
57,0,0,2,6,0,14,8,260,98,97,29635,5927
58,0,1,5,17,3,18,19,480,85,89,29425,5885
59,1,1,5,18,5,16,20,485,108,77,2941,5882
60,0,0,2,6,1,14,12,325,72,67,294,5880
61,2,2,4,18,3,26,14,485,82,79,294,5880
62,1,1,1,6,1,10,15,330,96,96,2938,5876
63,0,0,2,6,0,3,20,330,85,89,29365,5873
64,1,1,5,18,3,17,20,485,1095,95,29325,5865
65,0,0,6,18,2,17,20,480,965,755,29315,5863
66,1,1,5,18,3,21,17,480,98,97,2928,5856
67,0,3,4,18,2,18,18,460,105,95,290,5800
68,1,2,4,17,1,23,22,565,103,8,28955,5791
69,0,2,5,19,5,30,10,475,95,92,2891,5782
70,0,0,2,6,5,15,5,250,1,92,2889,5778
71,2,2,4,18,5,18,17,460,85,89,28875,5775
